BHK,Total_Sq.ft,Price_per_sq.ft,Region
3.0,1400.0,3210.0,29
3.0,2500.0,5400.0,173
5.0,1100.0,5450.0,175
4.0,900.0,5780.0,121
3.0,1200.0,2670.0,192
3.0,2310.0,3000.0,165
2.0,1170.0,3420.0,145
4.0,1862.0,5100.0,60
3.0,1800.0,4440.0,139
4.0,1650.0,2910.0,90
4.0,1400.0,3930.0,29
4.0,1440.0,4650.0,29
5.0,2500.0,3960.0,33
3.0,1400.0,2290.0,90
5.0,1100.0,5450.0,175
4.0,900.0,5780.0,121
3.0,1200.0,2670.0,192
3.0,2310.0,3000.0,165
2.0,1170.0,3420.0,145
4.0,1862.0,5100.0,60
3.0,1800.0,4440.0,139
4.0,1650.0,2910.0,90
4.0,1400.0,3930.0,29
4.0,1440.0,4650.0,29
5.0,2500.0,3960.0,33
3.0,1400.0,2290.0,90
4.0,2584.0,4260.0,143
2.0,720.0,3400.0,128
4.0,2000.0,3500.0,122
5.0,2200.0,3640.0,132
5.0,1800.0,3330.0,122
5.0,2886.0,2600.0,142
4.0,1440.0,3960.0,166
5.0,1876.0,4960.0,121
5.0,2000.0,4000.0,33
7.0,2500.0,3600.0,110
5.0,2500.0,3480.0,35
5.0,2000.0,3750.0,181
4.0,1800.0,3780.0,106
5.0,3000.0,2670.0,33
4.0,2800.0,4640.0,11
2.0,720.0,3400.0,128
4.0,2000.0,3500.0,122
5.0,2200.0,3640.0,132
5.0,1800.0,3330.0,122
5.0,2886.0,2600.0,142
4.0,1440.0,3960.0,166
5.0,1876.0,4960.0,121
5.0,2000.0,4000.0,33
7.0,2500.0,3600.0,110
5.0,2500.0,3480.0,35
5.0,2000.0,3750.0,181
4.0,1800.0,3780.0,106
5.0,3000.0,2670.0,33
4.0,2800.0,4640.0,11
4.0,1470.0,6800.0,10
5.0,2000.0,3500.0,144
2.0,1308.0,3060.0,61
3.0,1440.0,4170.0,24
3.0,1440.0,4030.0000000000005,45
2.0,1395.0,1610.0,181
3.0,1567.0,5110.0,143
4.0,1906.0,3410.0,36
2.0,620.0,2260.0,140
4.0,834.0,4320.0,164
2.0,1308.0,3060.0,61
3.0,1440.0,4170.0,24
3.0,1440.0,4030.0000000000005,45
2.0,1395.0,1610.0,181
3.0,1567.0,5110.0,143
4.0,1906.0,3410.0,36
2.0,620.0,2260.0,140
4.0,834.0,4320.0,164
6.0,2800.0,4820.0,98
4.0,2000.0,4250.0,74
4.0,1300.0,3460.0,23
4.0,1800.0,6220.0,173
4.0,1080.0,3060.0,35
7.0,1480.0,3720.0,164
4.0,1440.0,7640.0,10
3.0,1000.0,5800.0,143
2.0,1180.0,2800.0,86
3.0,2420.0,2890.0,29
4.0,1300.0,3460.0,23
4.0,1800.0,6220.0,173
4.0,1080.0,3060.0,35
7.0,1480.0,3720.0,164
4.0,1440.0,7640.0,10
3.0,1000.0,5800.0,143
2.0,1180.0,2800.0,86
3.0,2420.0,2890.0,29
3.0,1080.0,4260.0,49
5.0,2366.0,3380.0,45
2.0,1100.0,2360.0,175
3.0,1070.0,2710.0,39
3.0,1552.0,3870.0,114
4.0,1080.0,6480.0,33
5.0,3240.0,2160.0,41
7.0,1400.0,8210.0,109
2.0,800.0,4630.0,53
5.0,1800.0,3610.0,166
3.0,1300.0,3850.0,164
6.0,2300.0,2170.0,74
5.0,1080.0,4170.0,35
2.0,850.0,4059.9999999999995,98
3.0,1080.0,4260.0,49
5.0,2366.0,3380.0,45
2.0,1100.0,2360.0,175
3.0,1070.0,2710.0,39
3.0,1552.0,3870.0,114
4.0,1080.0,6480.0,33
5.0,3240.0,2160.0,41
7.0,1400.0,8210.0,109
2.0,800.0,4630.0,53
5.0,1800.0,3610.0,166
3.0,1300.0,3850.0,164
6.0,2300.0,2170.0,74
5.0,1080.0,4170.0,35
2.0,850.0,4059.9999999999995,98
3.0,1000.0,3500.0,60
4.0,1270.0,7480.0,172
4.0,910.0,4950.0,143
4.0,2100.0,5000.0,45
3.0,1800.0,3060.0,103
5.0,1250.0,3040.0,181
4.0,1800.0,6670.0,60
5.0,1500.0,6330.0,74
3.0,1600.0,3750.0,155
3.0,1800.0,4720.0,71
4.0,1600.0,4059.9999999999995,164
5.0,3000.0,2200.0,35
6.0,2000.0,4750.0,95
4.0,1450.0,6550.0,71
2.0,700.0,5710.0,166
3.0,1000.0,3500.0,60
4.0,1270.0,7480.0,172
4.0,910.0,4950.0,143
4.0,2100.0,5000.0,45
3.0,1800.0,3060.0,103
5.0,1250.0,3040.0,181
4.0,1800.0,6670.0,60
5.0,1500.0,6330.0,74
3.0,1600.0,3750.0,155
3.0,1800.0,4720.0,71
4.0,1600.0,4059.9999999999995,164
5.0,3000.0,2200.0,35
6.0,2000.0,4750.0,95
4.0,1450.0,6550.0,71
2.0,700.0,5710.0,166
2.0,750.0,2530.0,172
2.0,880.0,5110.0,143
6.0,3000.0,5000.0,157
3.0,2400.0,3330.0,60
2.0,720.0,2360.0,81
6.0,3300.0,3820.0,74
6.0,2525.0,3560.0,74
